Attribute,k,AUC_gap,TPR_gap,FPR_gap,EqOdds,DemParity
Sex,2,0.012966659213350384,0.0015112407885384815,0.017934380283096463,0.019445621071634944,0.017992964156808997
Age group,5,0.06144406325201235,0.4541666666666667,0.3479312920089619,0.8020979586756286,0.3688307987886288
Employment,3,0.0779041548242787,0.1807228915662651,0.1809085207809889,0.361631412347254,0.1868576670425828
Education,3,0.026327227154890886,0.3482794042116076,0.4254530373915062,0.7737324416031137,0.43917841509863004
