,CV_AUC,CV_sd,Test_AUC,PR_AUC,Brier
Logistic Regression,0.6948602542257429,0.02044612841417324,0.6856868792268064,0.14518662437674748,0.2144737783377604
Random Forest,0.7223720769206452,0.012719544111578728,0.715985960077313,0.2059573883857144,0.05846327753981996
HistGradientBoosting,0.7151538360460429,0.019155848713584812,0.7025446062538572,0.16599750272352978,0.18380536102644782
